dokum_no;C;MN;SI;S;P;AL;ALINS;ALSOL;CR;B;V;TI;MO;NI;NB;CA;ZN;FE;CEV;SB;SN;AS;CU;N;PB;ZR;firin_giris_uzunluk;firin_giris_agirlik;firin_kalis_suresi;lcc_kalma_suresi;firin_cikis_sicakligi;kutuk_desarj_sicakligi;tavlama_ortalama_sicaklik;tavlama_min_sicaklik;tavlama_max_sicaklik;dr10_kutuk_sicakligi;ortalama_descaler_basinci;min_descaler_basinci;max_descaler_basinci;max_meerdrive_giris_sicakligi;min_ meerdrive_giris_sicakligi;ortam_hava_sicakligi1;ortam_hava_sicakligi2;ortam_hava_sicakligi3;unit_agirlik;haddeleme_suresi;haddeleme_hizi
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12105;2124;108,1;3,249999995;1176;0;1178,726;1173,5;1186;1090,712;222,6763;221,5278;223,9583;943,2291;856,3368;17,3548;6,922348;9,222433;178;73;110,066
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12105;2124;112,05;3,266666665;1176,5;0;1178,781;1173,5;1186;1087,76;222,4537;221,7592;223,2639;941,3195;927,6331;16,00776;5,4708;7,730479;178;74,1;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12112;2124;112,0166667;3,266666665;1174;0;1178,764;1173,5;1186;1081,366;222,3876;221,1806;223,4954;939,0914;911,0822;16,92311;6,681191;7,821578;178;74,2;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12119;2124;112,1;3,266666665;1175;0;1178,814;1173,5;1186;1080,382;222,4537;220,7176;223,3796;936,5452;925,7234;16,99495;7,027567;8,040825;178;74,2;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12192;2124;112,05;3,266666665;1177;0;1178,833;1173,5;1186;1087,76;222,062;221,0648;223,0324;935,5903;925,7234;17,23906;7,015993;8,386995;178;74,4;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12007;2124;112,1166667;3,266666665;1178,5;0;1178,868;1174;1186;1088,252;222,9663;222,2222;223,9583;935,9086;924,7685;17,34848;6,978115;8,856271;178;74,1;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;11995;2124;114,8333333;3,399999999;1183;0;1179,137;1174;1186;1083,333;222,5427;221,1806;223,6111;935,272;924,4503;16,80658;6,753472;9,658905;178;74,2;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12148;2124;114,85;3,733333326;1184,5;0;1179,248;1174;1186;1078,906;221,9284;221,0648;223,0324;935,272;921,2673;16,54523;6,200525;9,041271;178;74,5;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12146;2124;114,8666667;3,933333331;1184,5;0;1179,333;1174;1186;1083,825;221,8839;220,7176;223,4954;933,6805;922,5405;16,49468;5,859781;8,347125;178;74,5;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12146;2124;114,8833333;4,050000004;1185;0;1179,467;1174;1186;1078,414;222,4702;221,6435;223,8426;933,3623;916,8113;16,28487;5,731421;8,00941;178;74,398;108,1754
